"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
299.5,1650.5,0.332,0.32
300.5,1649.5,0.266,0.376
301.5,1648.5,0.34,0.308
302.5,1647.5,0.311,0.299
303.5,1646.5,0.361,0.437
304.5,1645.5,0.258,0.4
305.5,1644.5,0.3,0.42
306.5,1643.5,0.363,0.463
307.5,1642.5,0.259,0.806
308.5,1641.5,0.388,0.925
309.5,1640.5,0.221,0.309
310.5,1639.5,0.321,0.393
311.5,1638.5,0.238,0.401
312.5,1637.5,0.299,0.376
313.5,1636.5,0.302,0.338
314.5,1635.5,0.514,0.589
315.5,1634.5,0.299,0.282
316.5,1633.5,0.27,0.419
317.5,1632.5,0.307,0.447
318.5,1631.5,0.302,0.54
319.5,1630.5,0.267,0.439
320.5,1629.5,0.376,0.425
321.5,1628.5,0.342,0.408
322.5,1627.5,0.279,0.352
323.5,1626.5,0.318,0.445
324.5,1625.5,0.373,0.557
325.5,1624.5,0.354,0.417
326.5,1623.5,0.453,0.616
327.5,1622.5,0.354,0.464
328.5,1621.5,0.259,0.456
329.5,1620.5,0.404,0.652
330.5,1619.5,0.338,0.509
331.5,1618.5,0.364,0.408
332.5,1617.5,0.321,0.539
333.5,1616.5,0.357,0.397
334.5,1615.5,0.359,0.47
335.5,1614.5,0.351,0.503
336.5,1613.5,0.296,0.362
337.5,1612.5,0.224,0.369
338.5,1611.5,0.211,0.395
339.5,1610.5,0.246,0.436
340.5,1609.5,0.352,0.505
341.5,1608.5,0.326,0.54
342.5,1607.5,0.416,0.512
343.5,1606.5,0.395,0.392
344.5,1605.5,0.248,0.456
345.5,1604.5,0.391,0.364
346.5,1603.5,0.319,0.617
347.5,1602.5,0.236,0.411
348.5,1601.5,0.309,0.585
349.5,1600.5,0.308,0.838
350.5,1599.5,0.248,0.465
351.5,1598.5,0.344,0.506
352.5,1597.5,0.55,0.805
353.5,1596.5,0.511,0.949
354.5,1595.5,0.294,0.518
355.5,1594.5,0.325,0.473
356.5,1593.5,0.188,0.294
357.5,1592.5,0.41,0.57
358.5,1591.5,0.315,0.537
